#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_47356	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_47357	Eukaryota	Ochrophyta	Dictyochophyceae	Pedinellales	unknown	g_	s_
ASV_47358	Eukaryota	Annelida	Polychaeta	Spionida	Cirratulidae	g_	s_
ASV_47359	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_47360	Eukaryota	Arthropoda	Insecta	Diptera	Mycetophilidae	g_	s_
ASV_47361	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47362	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	g_	s_
ASV_47363	Eukaryota	Annelida	unassigned	unassigned	unassigned	g_	s_
ASV_47364	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_47365	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos
ASV_47366	Eukaryota	Oomycota	Oomycetes	unassigned	unassigned	g_	s_
ASV_47367	Eukaryota	Porifera	Demospongiae	Clionaida	Spirastrellidae	g_	s_
ASV_47374	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_47375	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus pergens
ASV_47377	Eukaryota	unknown	unknown	unknown	Vexilliferidae	g_	s_
ASV_47378	Eukaryota	Mollusca	Gastropoda	Nudibranchia	Onchidorididae	g_	s_
ASV_47382	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_47421	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47422	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_47423	Eukaryota	Ochrophyta	Phaeophyceae	unassigned	unassigned	g_	s_
ASV_47424	Eukaryota	Mollusca	Gastropoda	unknown	Planorbidae	g_	s_
ASV_47425	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47426	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_47427	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47428	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_47429	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_47430	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Phacellophora	Phacellophora camtschatica
ASV_47431	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_47432	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_47433	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
