"","CANON_AKU1_22_X","CANON_AKU2_22_X","CANON_AKU3_22_X","CANON_AKU4_22_X","CANON_B10_22_X","CANON_B13_22_X","CANON_B17_22_X","CANON_B1_22_X","CANON_B20_22_X","CANON_B23_22_X","CANON_CBI10_22_X","CANON_CBI1_22_X","CANON_CBI4_22_X","CANON_CBI5_22_X","CANON_CBI8_22_X","CANON_CBI9_22_X"
"ASV_8575",92,249,19,19,47,72,89,30,58,71,32,0,31,52,78,71
"ASV_8576",1202,542,142,900,168,2489,1285,149,127,24,1147,455,3924,1813,1624,263
"ASV_8581",0,267,0,0,7,66,44,29,9,1,2,0,34,24,55,0
"ASV_8583",24,0,13,1,34,1,25,24,7,0,0,0,2,0,17,45
"ASV_8584",35,3,24,42,19,17,8,22,0,1,23,0,26,3,5,76
"ASV_8585",117,0,37,0,0,0,0,0,0,0,15,0,0,0,0,0
"ASV_8587",0,83,0,11,0,22,86,7,36,0,2,0,31,13,20,8
"ASV_8591",0,7,0,0,0,0,0,0,6,3,0,0,0,0,0,5
"ASV_8599",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ASV_8600",35,0,62,53,0,38,0,0,0,0,23,0,0,0,0,0
"ASV_8611",10,12,134,47,4,16,99,103,17,6,22,56,3,5,43,151
"ASV_8612",0,0,230,56,0,51,0,78,0,0,69,0,11,0,0,505
"ASV_8615",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,139
"ASV_8616",0,0,36,62,0,0,0,0,0,0,0,0,4,0,0,561
"ASV_8617",4,0,4,3,0,0,0,34,0,0,0,0,0,3,19,33
"ASV_8623",28,36,9,26,101,58,72,33,10,11,11,2,1,8,20,29
"ASV_8624",50,26,7,2,1588,951,0,69,26,43,0,0,475,236,0,0
"ASV_8628",0,0,56,33,1,0,3,15,0,0,0,0,2,0,128,38
"ASV_8629",57,0,59,27,2,14,2,36,0,0,5,0,2,3,2,30
"ASV_8631",6,0,0,27,36,54,47,21,7,1,122,0,22,68,33,18
"ASV_8634",10,0,0,0,0,0,7,4,0,0,0,0,0,0,0,0
"ASV_8635",181,1,63,2,0,86,0,0,0,0,0,0,2,4,0,77
"ASV_8639",68,3,0,15,5,94,4,2,4,10,62,0,25,38,2,0
"ASV_8641",0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8647",0,0,52,20,0,26,25,37,0,0,2,0,2,13,20,208
"ASV_8648",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5
"ASV_8649",0,0,0,3,0,0,28,0,0,0,0,0,0,2,115,0
"ASV_8652",3,4,0,4,18,16,14,0,2,4,5,0,10,1,1,0
"ASV_8654",0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0
"ASV_8657",15,37,1,0,34,173,53,50,0,187,24,1,60,50,0,0
"ASV_8664",0,0,3,21,0,4,4,3,4,0,18,0,0,2,5,19
"ASV_8666",0,0,2,0,0,2,0,2,0,0,0,0,0,1,0,0
"ASV_8668",286,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8670",262,0,94,124,73,10,0,21,0,0,7,242,4,22,0,45
"ASV_8672",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ASV_8673",0,0,33,40,0,19,0,3,4,0,2,0,0,2,3,0
"ASV_8674",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8679",138,0,0,0,0,0,0,0,0,0,0,0,0,5,0,40
"ASV_8684",0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
"ASV_8688",34,0,1,8,0,0,0,0,0,0,0,0,0,1,0,0
"ASV_8690",2,0,1,180,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_8691",7,16,0,6,8,141,78,19,5,3,22,46,84,70,41,6
"ASV_8692",0,0,3,0,4,0,0,11,0,0,0,0,0,0,2,3
"ASV_8693",0,0,7,30,0,0,0,20,0,0,0,0,0,0,1,14
"ASV_8694",0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,0
"ASV_8695",0,26,0,0,1,148,10,10,16,0,21,0,80,11,40,0
"ASV_8696",219,25,14,330,17,604,4,9,18,69,875,0,177,545,8,2
"ASV_8701",104,0,41,23,0,3,5,10,0,0,5,0,10,10,3,1
"ASV_8702",0,0,0,0,4,25,0,0,0,0,6,0,8,2,0,0
"ASV_8703",0,0,0,0,0,1,15,18,0,0,0,0,0,3,0,0
"ASV_8705",0,0,140,0,0,0,0,7,0,0,0,0,0,0,0,19
"ASV_8708",35,3,59,20,10,43,200,70,9,0,3,135,3,10,52,238
